history_id,project_id,project_name,team_size,tools_used,completion_days,success_score
HIS0289,PRJ0095,Healthcare Diagnosis AI,3,Python;FastAPI,25,0.84
HIS0290,PRJ0003,Healthcare Diagnosis AI,5,TensorFlow;FastAPI,31,0.76
HIS0291,PRJ0174,Fraud Detection System,4,Python;LangChain;FastAPI;TensorFlow,34,0.82
HIS0292,PRJ0052,Healthcare Diagnosis AI,5,FastAPI;LangChain;PostgreSQL;Redis,24,0.86
HIS0293,PRJ0114,Smart Inventory Prediction,6,TensorFlow;Redis,19,0.91
HIS0294,PRJ0017,Document Summarization AI,7,Redis;TensorFlow;Python,43,0.89
HIS0295,PRJ0120,Document Summarization AI,5,Python;Redis;LangChain;TensorFlow,22,0.94
HIS0296,PRJ0017,Healthcare Diagnosis AI,7,Redis;FastAPI;LangChain;TensorFlow,48,0.83
HIS0297,PRJ0092,Fraud Detection System,6,LangChain;FastAPI;Redis,33,0.96
HIS0298,PRJ0074,Customer Support Chatbot,3,PostgreSQL;Python,44,0.84
HIS0299,PRJ0078,Autonomous AI Research Agent,8,LangChain;Python,34,0.82
HIS0300,PRJ0078,Autonomous AI Research Agent,5,FastAPI;LangChain,28,0.97
HIS0301,PRJ0201,NeuroX Vision Deployment,7,NeuroX Vision;NeuroX Edge;Docker,45,0.95
HIS0302,PRJ0202,LLM Fine-tuning for Legal,8,PyTorch;Ray;HuggingFace,60,0.92
HIS0303,PRJ0203,Fraud Detection Engine v2,6,Spark;Elasticsearch;Prometheus,30,0.98
HIS0304,PRJ0204,Personalized Recommendation,5,Pinecone;Next.js;GraphQL,25,0.89
HIS0305,PRJ0205,Automated Data Hub,3,NeuroX DataHub;Pandas;GitHub Actions,15,0.94
HIS0306,PRJ0206,Predictive Maintenance IoT,4,AWS Lambda;Terraform;Grafana,40,0.91
HIS0307,PRJ0207,Medical Image Classification,6,NeuroX Core;PyTorch;Jupyter,50,0.96
HIS0308,PRJ0208,Autonomous Drone Navigation,10,NeuroX Vision;NeuroX Core;C++,90,0.88
HIS0309,PRJ0209,Financial Market Simulator,5,Ray;FastAPI;MongoDB,35,0.93
HIS0310,PRJ0210,AI Content Generation,3,OpenAI API;Streamlit;DVC,20,0.87
HIS0311,PRJ0211,Smart Grid Management,7,NeuroX Core;Kafka;Prometheus,55,0.92
HIS0312,PRJ0212,Voice-Controlled Home,4,NeuroX NLP;NeuroX Edge;Redis,30,0.94
HIS0313,PRJ0213,Inventory Prediction v2,5,MLflow;Snowflake;Tableau,25,0.91
HIS0314,PRJ0214,Cyber Threat Hunting,6,Elasticsearch;Vault;Ansible,45,0.95
HIS0315,PRJ0215,Robotic Process Automation,8,NeuroX Vision;NeuroX Core;Jenkins,70,0.89
